WINDOWS 기본 명령어와 리눅스 기본 명령어 비교

WINDOWS	     |	  LINUX	    |	  기능
--------------------------------------------------------
COPY	     |cp	    |파일 복사

DEL	     |rm      	    |파일 삭제

DIR	     |ls	    |파일 목록 확인

TYPE	      cat	     텍스트 파일의 내용을 화면에 표시

MOVE	      mv	     파일, 디렉토리 변경 및 이동

MD	      mkdir	     디렉토리 생성

CD	      cd	     디렉토리 변경

RD	      rmdir	     디렉토리 삭제

CLS	      clear	     화면의 내용을 지움

DATE	      date	     현재 날짜와 시간을 표시

PING	      ping	     네트워크 상의 다른 컴퓨터들의 연결상태 점검

REN			     파일 이름 변경

ATTRIB			     파일 속성 변경

FIND			     특정 문자열 검색

FORMAT			     디스트 포멧(초기화)

CHKDISK			     디스크 상태 점검하여 손상부분 복구

	      chmod	     대상 파일과 디렉토리의 사용권한을 변경

	      pwd	     현재 디렉토리의 경로 표시

	      passwd	     로그인할 때 사용자 각각의 비밀번호 설정 및 변경

	      who	     현재 시스템에 접속한 사용자 표시

	      shutdown	     작업중인 상태를 체계적으로 종료

	      kill	     프로세스 강제 종료

	      close	     파일 닫기

	      ps	     프로세스 상태 보기

	      finger	     시스템에 접속된 사용자 정보 조회

	      chown	     파일을 소유하는 유저와 그룹을 변경

	      sleep	     프로세스 수행을 일시 중지

	      read	     파일 내용을 순차적으로 읽기

	      write	     파일에 내용을 순차적으로 기록

